rssi1,rssi2,rssi3,rssi4,rssi5,x,y
-72.128,-105.537,-84.608,-74.932,-74.926,332.800,0.000
-72.167,-101.047,-85.099,-74.903,-75.403,334.400,0.000
-72.207,-98.156,-84.490,-74.874,-75.303,336.000,0.000
-72.245,-98.066,-85.073,-74.846,-75.403,337.600,0.000
-72.284,-96.176,-85.164,-74.817,-75.381,339.200,0.000
-72.323,-97.086,-85.455,-74.788,-75.381,340.800,0.000
-72.361,-95.895,-86.046,-74.759,-75.158,342.400,0.000
-72.400,-97.305,-86.737,-74.730,-74.558,344.000,0.000
-72.438,-96.815,-87.019,-74.700,-74.258,345.600,0.000
-72.476,-95.824,-87.211,-74.671,-73.535,347.200,0.000
-72.513,-96.834,-86.702,-74.642,-72.435,348.800,0.000
-72.551,-97.143,-86.293,-74.612,-71.935,350.400,0.000
-72.588,-98.453,-86.084,-74.582,-70.812,352.000,0.000
-72.626,-99.063,-86.166,-74.553,-70.812,353.600,0.000
-72.663,-99.172,-86.357,-74.523,-70.812,355.200,0.000
-72.700,-99.082,-87.448,-74.493,-70.789,356.800,0.000
-72.737,-98.491,-90.439,-74.463,-70.789,358.400,0.000
-72.773,-100.701,-90.330,-74.433,-70.789,360.000,0.000
-72.810,-100.920,-90.412,-74.402,-70.789,361.600,0.000
-72.846,-102.230,-90.303,-74.372,-70.766,363.200,0.000
-72.882,-105.439,-88.194,-74.342,-70.766,364.800,0.000
-72.918,-105.649,-86.085,-74.311,-70.766,366.400,0.000
-72.954,-105.558,-86.276,-74.280,-70.766,368.000,0.000
-72.990,-104.868,-87.358,-74.250,-70.743,369.600,0.000
-73.026,-104.677,-89.948,-74.219,-70.743,371.200,0.000
-73.061,-101.987,-91.839,-74.188,-70.743,372.800,0.000
-73.096,-101.296,-93.930,-74.156,-72.243,374.400,0.000
-73.131,-100.456,-91.921,-74.125,-76.993,376.000,0.000
-73.166,-98.465,-89.812,-74.094,-82.993,377.600,0.000
-74.094,-92.062,-86.615,-73.166,-100.993,422.400,0.000
-74.125,-92.071,-85.606,-73.131,-95.243,424.000,0.000
-74.156,-93.830,-86.396,-73.096,-83.243,425.600,0.000
-74.188,-90.339,-88.287,-73.061,-78.243,427.200,0.000
-74.219,-89.598,-88.177,-73.026,-78.243,428.800,0.000
-74.250,-91.358,-88.068,-72.990,-78.243,430.400,0.000
-74.280,-92.376,-90.758,-72.954,-78.266,432.000,0.000
-74.311,-92.635,-91.449,-72.918,-78.266,433.600,0.000
-74.342,-93.394,-89.439,-72.882,-78.766,435.200,0.000
-74.372,-93.903,-86.830,-72.846,-85.766,436.800,0.000
-74.402,-94.912,-84.420,-72.810,-89.789,438.400,0.000
-74.433,-94.930,-84.401,-72.773,-93.539,440.000,0.000
-74.463,-94.689,-83.391,-72.737,-97.039,441.600,0.000
-74.493,-95.448,-81.882,-72.700,-97.039,443.200,0.000
-74.523,-97.457,-80.372,-72.663,-94.062,444.800,0.000
-74.553,-96.966,-80.263,-72.626,-93.312,446.400,0.000
-74.582,-96.484,-80.153,-72.588,-93.312,448.000,0.000
-74.612,-95.743,-80.543,-72.551,-93.835,449.600,0.000
-74.642,-95.252,-81.034,-72.513,-92.835,451.200,0.000
-74.671,-94.261,-81.424,-72.476,-95.335,452.800,0.000
-74.700,-94.769,-81.815,-72.438,-103.358,454.400,0.000
-74.730,-94.287,-83.705,-72.400,-100.858,456.000,0.000
-74.759,-94.796,-85.945,-72.361,-88.858,457.600,0.000
-74.788,-93.555,-87.686,-72.323,-88.381,459.200,0.000
-74.817,-93.564,-89.326,-72.284,-94.381,460.800,0.000
-74.846,-94.073,-90.966,-72.245,-92.403,462.400,0.000
-74.874,-94.090,-91.356,-72.207,-83.903,464.000,0.000
-74.903,-93.599,-90.797,-72.167,-80.903,465.600,0.000
-74.932,-95.108,-90.937,-72.128,-79.426,467.200,0.000
-74.960,-97.117,-91.377,-72.089,-78.426,468.800,0.000
-74.989,-96.134,-91.317,-72.049,-78.449,470.400,0.000
-75.017,-95.143,-91.458,-72.009,-78.449,472.000,0.000
-75.045,-94.152,-93.948,-71.969,-78.471,473.600,0.000
-75.073,-91.661,-93.938,-71.929,-78.471,475.200,0.000
-75.101,-90.178,-92.928,-71.888,-78.494,476.800,0.000
-75.129,-90.687,-92.768,-71.848,-78.494,478.400,0.000
-75.157,-90.196,-101.759,-71.807,-78.516,480.000,0.000
-75.185,-90.455,-106.449,-71.766,-76.516,481.600,0.000
-75.212,-89.472,-101.039,-71.725,-75.538,483.200,0.000
-75.240,-88.981,-100.989,-71.684,-75.538,484.800,0.000
-75.267,-89.739,-104.979,-71.642,-75.561,486.400,0.000
-75.295,-91.248,-108.319,-71.600,-75.561,488.000,0.000
