rssi1,rssi2,rssi3,rssi4,rssi5,x,y
-74.874,-86.690,-111.556,-72.207,-70.903,464.000,0.000
-74.903,-86.699,-111.447,-72.167,-70.903,465.600,0.000
-74.932,-86.508,-111.437,-72.128,-70.926,467.200,0.000
-74.960,-86.317,-111.027,-72.089,-70.926,468.800,0.000
-74.989,-86.034,-112.417,-72.049,-70.949,470.400,0.000
-75.017,-86.043,-110.708,-72.009,-70.949,472.000,0.000
-75.045,-85.952,-105.798,-71.969,-70.971,473.600,0.000
-75.073,-86.561,-100.488,-71.929,-70.971,475.200,0.000
-75.101,-87.178,-96.178,-71.888,-70.994,476.800,0.000
-75.129,-86.287,-92.568,-71.848,-70.994,478.400,0.000
-75.157,-87.596,-90.459,-71.807,-71.016,480.000,0.000
-75.185,-88.405,-90.349,-71.766,-71.016,481.600,0.000
-75.212,-88.022,-91.539,-71.725,-71.038,483.200,0.000
-75.240,-88.931,-91.939,-71.684,-71.038,484.800,0.000
-75.267,-87.339,-93.579,-71.642,-71.061,486.400,0.000
-75.295,-88.848,-94.669,-71.600,-71.061,488.000,0.000
-75.322,-88.865,-94.659,-71.558,-71.083,489.600,0.000
-75.349,-88.874,-95.299,-71.516,-71.083,491.200,0.000
-75.377,-89.883,-95.789,-71.474,-71.105,492.800,0.000
-75.404,-88.300,-95.980,-71.431,-71.127,494.400,0.000
-75.431,-90.909,-94.470,-71.388,-71.127,496.000,0.000
-75.457,-89.217,-92.760,-71.345,-71.149,497.600,0.000
-75.484,-91.626,-92.350,-71.302,-71.149,499.200,0.000
-75.511,-91.643,-92.440,-71.259,-71.171,500.800,0.000
-75.538,-90.052,-93.530,-71.215,-71.193,502.400,0.000
-75.564,-91.260,-96.620,-71.171,-71.193,504.000,0.000
-75.591,-89.677,-97.010,-71.127,-71.215,505.600,0.000
-75.617,-90.086,-96.210,-71.083,-71.237,507.200,0.000
-75.643,-88.394,-93.900,-71.038,-71.237,508.800,0.000
-75.670,-88.503,-90.690,-70.994,-71.259,510.400,0.000
-75.696,-86.820,-91.180,-70.949,-71.281,512.000,0.000
